,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
19,8447348,Jack Laviolette,1879-07-27,Belleville,CAN,CAN,"5' 11""",170,R,Defenseman
43,8449231,Ken Thompson,1881-05-29,Oakengates,GBR,GBR,"5' 10""",160,L,Left Wing
44,8450014,Bert Lindsay,1881-07-23,Garafraxa County,CAN,CAN,"5' 7""",160,R,Goalie
17,8446669,Joe Hall,1882-05-03,Staffordshire,GBR,GBR,"5' 10""",175,R,Defenseman
23,8448154,Didier Pitre,1883-09-01,Valleyfield,CAN,CAN,"5' 11""",185,R,Right Wing
210,8448095,Lester Patrick,1883-12-30,Drummondville,CAN,CAN,"6' 1""",180,L,Defenseman
51,8447037,Paul Jacobs,1884-03-09,Montréal,CAN,CAN,"5' 8""",160,L,Defenseman
29,8447616,Jack Marks,1885-06-11,Brantford,CAN,CAN,"6' 0""",180,L,Left Wing
125,8448584,Bobby Rowe,1885-08-19,Heathcote,CAN,CAN,"5' 6""",160,L,Right Wing
200,8450013,Hugh Lehman,1885-10-27,Pembroke,CAN,CAN,"5' 8""",168,L,Goalie
2,8445802,Rusty Crawford,1885-11-07,Cardinal,CAN,CAN,"5' 11""",165,L,Left Wing
8,8447848,Horace Merrill,1885-11-30,Ottawa,CAN,CAN,"5' 9""",176,L,Defenseman
40,8448456,Art Ross,1886-01-13,Naughton,CAN,CAN,"5' 11""",190,L,Defenseman
11,8449025,Hamby Shore,1886-02-12,Ottawa,CAN,CAN,"6' 0""",175,L,Defenseman
69,8449087,Tommy Smith,1886-09-27,Ottawa,CAN,CAN,"5' 6""",150,L,Center
24,8450137,Georges Vezina,1887-01-21,Chicoutimi,CAN,CAN,"5' 6""",185,L,Goalie
21,8447761,Jack McDonald,1887-02-28,Québec,CAN,CAN,"5' 10""",154,R,Left Wing
14,8445071,Louis Berlinquette,1887-05-26,Papineau,CAN,CAN,"5' 11""",175,L,Left Wing
50,8445914,Fred Doherty,1887-08-15,Norwood,CAN,CAN,"5' 8""",160,L,Right Wing
22,8448119,Evariste Payer,1887-12-12,Rockland,CAN,CAN,"5' 6""",150,L,Center
54,8449072,Don Smith,1888-06-03,Cornwall,CAN,CAN,"5' 7""",160,L,Left Wing
18,8447289,Newsy Lalonde,1888-10-31,Cornwall,CAN,CAN,"5' 9""",168,R,Center
233,8449310,Jack Walker,1888-11-29,Silver Mountain,CAN,CAN,"5' 8""",153,L,Left Wing
33,8448246,Ken Randall,1888-12-14,Kingston,CAN,CAN,"5' 10""",180,R,Right Wing
6,8447013,Harry Hyland,1889-01-02,Montréal,CAN,CAN,"5' 6""",156,R,Right Wing
35,8449841,Art Brooks,1889-02-04,Guelph,CAN,CAN,"5' 9""",170,R,Goalie
47,8448441,Skene Ronan,1889-02-09,Ottawa,CAN,CAN,"5' 6""",150,L,Defenseman
31,8447907,Harry Mummery,1889-08-25,Chicago,USA,USA,"5' 11""",220,L,Defenseman
73,8447765,Moylan McDonnell,1889-08-27,Stony Mountain,CAN,CAN,"5' 9""",145,R,Defenseman
41,8449048,Raymie Skilton,1889-09-26,Cambridge,USA,USA,"5' 10""",190,R,Defenseman
26,8445314,Harry Cameron,1890-02-06,Pembroke,CAN,CAN,"5' 10""",155,R,Defenseman
5,8446581,Eddie Gerard,1890-02-22,Ottawa,CAN,CAN,"5' 9""",168,L,Left Wing
20,8447594,Joe Malone,1890-02-28,Quebec City,CAN,CAN,"5' 10""",150,L,Center
46,8445497,Sprague Cleghorn,1890-03-11,Montréal,CAN,CAN,"5' 10""",190,L,Defenseman
116,8445536,Lloyd Cook,1890-03-21,Lynden,CAN,CAN,"6' 0""",170,L,Defenseman
65,8445330,Ed Carpenter,1890-06-15,Hartford,USA,USA,"6' 0""",170,R,Defenseman
123,8447890,Bernie Morris,1890-08-21,Regina,CAN,CAN,"5' 7""",145,R,Center
119,8446716,Smokey Harris,1890-10-11,Port Arthur,CAN,CAN,"5' 11""",165,L,Left Wing
3,8445844,Jack Darragh,1890-12-04,Ottawa,CAN,CAN,"5' 10""",168,R,Right Wing
