,season,team_ids,team_names,player_ids,player_names
0,1917-1918,36,Eagles,8445135,George Boucher
1,1917-1918,36,Eagles,8445191,Morley Bruce
2,1917-1918,36,Eagles,8445802,Rusty Crawford
3,1917-1918,36,Eagles,8445844,Jack Darragh
4,1917-1918,36,Eagles,8445874,Cy Denneny
5,1917-1918,36,Eagles,8446581,Eddie Gerard
6,1917-1918,36,Eagles,8447013,Harry Hyland
7,1917-1918,36,Eagles,8447522,Ed Lowrey
8,1917-1918,36,Eagles,8447848,Horace Merrill
9,1917-1918,36,Eagles,8448011,Frank Nighbor
10,1917-1918,36,Eagles,8448336,Dave Ritchie
11,1917-1918,36,Eagles,8449025,Hamby Shore
12,1917-1918,36,Eagles,8449817,Clint Benedict
13,1917-1918,8,Canadiens,8445044,Billy Bell
14,1917-1918,8,Canadiens,8445071,Louis Berlinquette
15,1917-1918,8,Canadiens,8445571,Bert Corbeau
16,1917-1918,8,Canadiens,8445744,Billy Coutu
17,1917-1918,8,Canadiens,8446669,Joe Hall
18,1917-1918,8,Canadiens,8447289,Newsy Lalonde
19,1917-1918,8,Canadiens,8447348,Jack Laviolette
20,1917-1918,8,Canadiens,8447594,Joe Malone
21,1917-1918,8,Canadiens,8447761,Jack McDonald
22,1917-1918,8,Canadiens,8448119,Evariste Payer
23,1917-1918,8,Canadiens,8448154,Didier Pitre
24,1917-1918,8,Canadiens,8450137,Georges Vezina
25,1917-1918,57,Maple Leafs,8444861,Jack Adams
26,1917-1918,57,Maple Leafs,8445314,Harry Cameron
27,1917-1918,57,Maple Leafs,8445740,Jack Coughlin
28,1917-1918,57,Maple Leafs,8445802,Rusty Crawford
29,1917-1918,57,Maple Leafs,8445873,Corb Denneny
30,1917-1918,57,Maple Leafs,8447616,Jack Marks
31,1917-1918,57,Maple Leafs,8447832,Harry Meeking
32,1917-1918,57,Maple Leafs,8447907,Harry Mummery
33,1917-1918,57,Maple Leafs,8448013,Reg Noble
34,1917-1918,57,Maple Leafs,8448246,Ken Randall
35,1917-1918,57,Maple Leafs,8449049,Alf Skinner
36,1917-1918,57,Maple Leafs,8449841,Art Brooks
37,1917-1918,57,Maple Leafs,8449990,Sammy Hebert
38,1917-1918,57,Maple Leafs,8449997,Hap Holmes
39,1917-1918,41,Wanderers,8445044,Billy Bell
40,1917-1918,41,Wanderers,8446580,Gerry Geran
41,1917-1918,41,Wanderers,8447013,Harry Hyland
42,1917-1918,41,Wanderers,8447616,Jack Marks
43,1917-1918,41,Wanderers,8447761,Jack McDonald
44,1917-1918,41,Wanderers,8448052,George O'Grady
45,1917-1918,41,Wanderers,8448336,Dave Ritchie
46,1917-1918,41,Wanderers,8448456,Art Ross
47,1917-1918,41,Wanderers,8449048,Raymie Skilton
48,1917-1918,41,Wanderers,8449181,Phil Stevens
49,1917-1918,41,Wanderers,8449231,Ken Thompson
50,1917-1918,41,Wanderers,8450014,Bert Lindsay
51,1918-1919,36,Eagles,8445135,George Boucher
52,1918-1919,36,Eagles,8445168,Punch Broadbent
53,1918-1919,36,Eagles,8445314,Harry Cameron
54,1918-1919,36,Eagles,8445497,Sprague Cleghorn
55,1918-1919,36,Eagles,8445844,Jack Darragh
56,1918-1919,36,Eagles,8445874,Cy Denneny
57,1918-1919,36,Eagles,8446581,Eddie Gerard
58,1918-1919,36,Eagles,8447522,Ed Lowrey
59,1918-1919,36,Eagles,8448011,Frank Nighbor
60,1918-1919,36,Eagles,8448441,Skene Ronan
61,1918-1919,36,Eagles,8445497,Sprague Cleghorn
62,1918-1919,36,Eagles,8449817,Clint Benedict
63,1918-1919,8,Canadiens,8444956,Amos Arbour
64,1918-1919,8,Canadiens,8445044,Billy Bell
65,1918-1919,8,Canadiens,8445071,Louis Berlinquette
66,1918-1919,8,Canadiens,8445496,Odie Cleghorn
67,1918-1919,8,Canadiens,8445571,Bert Corbeau
68,1918-1919,8,Canadiens,8445744,Billy Coutu
69,1918-1919,8,Canadiens,8445914,Fred Doherty
70,1918-1919,8,Canadiens,8446669,Joe Hall
71,1918-1919,8,Canadiens,8447289,Newsy Lalonde
72,1918-1919,8,Canadiens,8447594,Joe Malone
73,1918-1919,8,Canadiens,8447761,Jack McDonald
74,1918-1919,8,Canadiens,8448154,Didier Pitre
75,1918-1919,8,Canadiens,8450137,Georges Vezina
76,1918-1919,57,Maple Leafs,8444861,Jack Adams
77,1918-1919,57,Maple Leafs,8445314,Harry Cameron
78,1918-1919,57,Maple Leafs,8445802,Rusty Crawford
79,1918-1919,57,Maple Leafs,8445873,Corb Denneny
80,1918-1919,57,Maple Leafs,8447037,Paul Jacobs
81,1918-1919,57,Maple Leafs,8447832,Harry Meeking
82,1918-1919,57,Maple Leafs,8447907,Harry Mummery
83,1918-1919,57,Maple Leafs,8448013,Reg Noble
84,1918-1919,57,Maple Leafs,8448246,Ken Randall
85,1918-1919,57,Maple Leafs,8448336,Dave Ritchie
86,1918-1919,57,Maple Leafs,8449049,Alf Skinner
87,1918-1919,57,Maple Leafs,8449997,Hap Holmes
88,1918-1919,57,Maple Leafs,8450014,Bert Lindsay
89,1919-1920,36,Eagles,8445135,George Boucher
90,1919-1920,36,Eagles,8445168,Punch Broadbent
91,1919-1920,36,Eagles,8445191,Morley Bruce
92,1919-1920,36,Eagles,8445497,Sprague Cleghorn
93,1919-1920,36,Eagles,8445844,Jack Darragh
94,1919-1920,36,Eagles,8445874,Cy Denneny
95,1919-1920,36,Eagles,8446581,Eddie Gerard
96,1919-1920,36,Eagles,8447791,Jack MacKell
97,1919-1920,36,Eagles,8447848,Horace Merrill
98,1919-1920,36,Eagles,8448011,Frank Nighbor
99,1919-1920,36,Eagles,8445844,Jack Darragh
100,1919-1920,36,Eagles,8449817,Clint Benedict
101,1919-1920,8,Canadiens,8444956,Amos Arbour
102,1919-1920,8,Canadiens,8445071,Louis Berlinquette
103,1919-1920,8,Canadiens,8445314,Harry Cameron
104,1919-1920,8,Canadiens,8445496,Odie Cleghorn
105,1919-1920,8,Canadiens,8445571,Bert Corbeau
106,1919-1920,8,Canadiens,8445740,Jack Coughlin
107,1919-1920,8,Canadiens,8445744,Billy Coutu
108,1919-1920,8,Canadiens,8447289,Newsy Lalonde
109,1919-1920,8,Canadiens,8447815,Howard McNamara
110,1919-1920,8,Canadiens,8448154,Didier Pitre
111,1919-1920,8,Canadiens,8449072,Don Smith
112,1919-1920,8,Canadiens,8450137,Georges Vezina
113,1919-1920,58,Maple Leafs,8445314,Harry Cameron
114,1919-1920,58,Maple Leafs,8445873,Corb Denneny
115,1919-1920,58,Maple Leafs,8445972,Babe Dye
116,1919-1920,58,Maple Leafs,8446761,Frank Heffernan
117,1919-1920,58,Maple Leafs,8447637,Joe Matte
118,1919-1920,58,Maple Leafs,8448013,Reg Noble
119,1919-1920,58,Maple Leafs,8448212,Goldie Prodgers
120,1919-1920,58,Maple Leafs,8448246,Ken Randall
121,1919-1920,58,Maple Leafs,8448349,Mickey Roach
122,1919-1920,58,Maple Leafs,8449551,Cully Wilson
123,1919-1920,58,Maple Leafs,8449918,Jake Forbes
124,1919-1920,58,Maple Leafs,8450017,Howard Lockhart
125,1919-1920,58,Maple Leafs,8450044,Ivan Mitchell
126,1919-1920,42,Tigers,8445326,George Carey
127,1919-1920,42,Tigers,8445330,Ed Carpenter
128,1919-1920,42,Tigers,8445740,Jack Coughlin
129,1919-1920,42,Tigers,8447594,Joe Malone
130,1919-1920,42,Tigers,8447616,Jack Marks
131,1919-1920,42,Tigers,8447674,Thomas McCarthy
132,1919-1920,42,Tigers,8447761,Jack McDonald
133,1919-1920,42,Tigers,8447796,Fred McLean
134,1919-1920,42,Tigers,8447816,George McNaughton
135,1919-1920,42,Tigers,8447907,Harry Mummery
136,1919-1920,42,Tigers,8448336,Dave Ritchie
137,1919-1920,42,Tigers,8449087,Tommy Smith
138,1919-1920,42,Tigers,8449382,Alex Wellington
139,1919-1920,42,Tigers,8447907,Harry Mummery
140,1919-1920,42,Tigers,8449843,Frank Brophy
141,1919-1920,42,Tigers,8450017,Howard Lockhart
142,1920-1921,36,Eagles,8445135,George Boucher
143,1920-1921,36,Eagles,8445168,Punch Broadbent
144,1920-1921,36,Eagles,8445191,Morley Bruce
145,1920-1921,36,Eagles,8445497,Sprague Cleghorn
146,1920-1921,36,Eagles,8445844,Jack Darragh
147,1920-1921,36,Eagles,8445874,Cy Denneny
148,1920-1921,36,Eagles,8446581,Eddie Gerard
149,1920-1921,36,Eagles,8446629,Leth Graham
150,1920-1921,36,Eagles,8447791,Jack MacKell
151,1920-1921,36,Eagles,8448011,Frank Nighbor
152,1920-1921,36,Eagles,8449817,Clint Benedict
153,1920-1921,37,Tigers,8445326,George Carey
154,1920-1921,37,Tigers,8445330,Ed Carpenter
155,1920-1921,37,Tigers,8445744,Billy Coutu
156,1920-1921,37,Tigers,8445972,Babe Dye
157,1920-1921,37,Tigers,8447594,Joe Malone
158,1920-1921,37,Tigers,8447637,Joe Matte
159,1920-1921,37,Tigers,8447674,Thomas McCarthy
160,1920-1921,37,Tigers,8447765,Moylan McDonnell
161,1920-1921,37,Tigers,8448212,Goldie Prodgers
162,1920-1921,37,Tigers,8448315,Leo Reise Sr.
163,1920-1921,37,Tigers,8448349,Mickey Roach
164,1920-1921,37,Tigers,8450017,Howard Lockhart
165,1920-1921,8,Canadiens,8444956,Amos Arbour
166,1920-1921,8,Canadiens,8445044,Billy Bell
167,1920-1921,8,Canadiens,8445071,Louis Berlinquette
168,1920-1921,8,Canadiens,8445317,Dave Campbell
169,1920-1921,8,Canadiens,8445496,Odie Cleghorn
170,1920-1921,8,Canadiens,8445571,Bert Corbeau
171,1920-1921,8,Canadiens,8447289,Newsy Lalonde
172,1920-1921,8,Canadiens,8447761,Jack McDonald
173,1920-1921,8,Canadiens,8447907,Harry Mummery
174,1920-1921,8,Canadiens,8448154,Didier Pitre
175,1920-1921,8,Canadiens,8448336,Dave Ritchie
176,1920-1921,8,Canadiens,8449551,Cully Wilson
177,1920-1921,8,Canadiens,8450137,Georges Vezina
178,1920-1921,58,Maple Leafs,8445314,Harry Cameron
179,1920-1921,58,Maple Leafs,8445497,Sprague Cleghorn
180,1920-1921,58,Maple Leafs,8445873,Corb Denneny
181,1920-1921,58,Maple Leafs,8445972,Babe Dye
182,1920-1921,58,Maple Leafs,8447761,Jack McDonald
183,1920-1921,58,Maple Leafs,8448013,Reg Noble
184,1920-1921,58,Maple Leafs,8448246,Ken Randall
185,1920-1921,58,Maple Leafs,8448349,Mickey Roach
186,1920-1921,58,Maple Leafs,8449090,Rod Smylie
187,1920-1921,58,Maple Leafs,8449199,Billy Stuart
188,1920-1921,58,Maple Leafs,8449551,Cully Wilson
189,1920-1921,58,Maple Leafs,8449918,Jake Forbes
190,1920-1921,58,Maple Leafs,8450044,Ivan Mitchell
191,1921-1922,36,Eagles,8445044,Billy Bell
192,1921-1922,36,Eagles,8445134,Frank Boucher
193,1921-1922,36,Eagles,8445135,George Boucher
194,1921-1922,36,Eagles,8445168,Punch Broadbent
195,1921-1922,36,Eagles,8445191,Morley Bruce
196,1921-1922,36,Eagles,8445471,King Clancy
197,1921-1922,36,Eagles,8445874,Cy Denneny
198,1921-1922,36,Eagles,8446581,Eddie Gerard
199,1921-1922,36,Eagles,8446629,Leth Graham
200,1921-1922,36,Eagles,8448011,Frank Nighbor
201,1921-1922,36,Eagles,8449817,Clint Benedict
202,1921-1922,37,Tigers,8444956,Amos Arbour
203,1921-1922,37,Tigers,8445326,George Carey
204,1921-1922,37,Tigers,8447594,Joe Malone
205,1921-1922,37,Tigers,8447637,Joe Matte
206,1921-1922,37,Tigers,8447907,Harry Mummery
207,1921-1922,37,Tigers,8448212,Goldie Prodgers
208,1921-1922,37,Tigers,8448315,Leo Reise Sr.
209,1921-1922,37,Tigers,8448349,Mickey Roach
210,1921-1922,37,Tigers,8449551,Cully Wilson
211,1921-1922,37,Tigers,8447907,Harry Mummery
212,1921-1922,37,Tigers,8450017,Howard Lockhart
213,1921-1922,8,Canadiens,8445044,Billy Bell
214,1921-1922,8,Canadiens,8445071,Louis Berlinquette
215,1921-1922,8,Canadiens,8445131,Edmond Bouchard
216,1921-1922,8,Canadiens,8445133,Billy Boucher
217,1921-1922,8,Canadiens,8445496,Odie Cleghorn
218,1921-1922,8,Canadiens,8445497,Sprague Cleghorn
219,1921-1922,8,Canadiens,8445571,Bert Corbeau
220,1921-1922,8,Canadiens,8445744,Billy Coutu
221,1921-1922,8,Canadiens,8447289,Newsy Lalonde
222,1921-1922,8,Canadiens,8447761,Jack McDonald
223,1921-1922,8,Canadiens,8448154,Didier Pitre
224,1921-1922,8,Canadiens,8449181,Phil Stevens
225,1921-1922,8,Canadiens,8445497,Sprague Cleghorn
226,1921-1922,8,Canadiens,8450137,Georges Vezina
227,1921-1922,58,Maple Leafs,8444936,Lloyd Andrews
228,1921-1922,58,Maple Leafs,8445314,Harry Cameron
229,1921-1922,58,Maple Leafs,8445873,Corb Denneny
230,1921-1922,58,Maple Leafs,8445972,Babe Dye
231,1921-1922,58,Maple Leafs,8447035,Stan Jackson
232,1921-1922,58,Maple Leafs,8448013,Reg Noble
233,1921-1922,58,Maple Leafs,8448030,Paddy Nolan
234,1921-1922,58,Maple Leafs,8448246,Ken Randall
235,1921-1922,58,Maple Leafs,8449075,Glenn Smith
236,1921-1922,58,Maple Leafs,8449090,Rod Smylie
237,1921-1922,58,Maple Leafs,8449145,Ted Stackhouse
238,1921-1922,58,Maple Leafs,8449199,Billy Stuart
239,1921-1922,58,Maple Leafs,8446581,Eddie Gerard
240,1921-1922,58,Maple Leafs,8450044,Ivan Mitchell
241,1921-1922,58,Maple Leafs,8450103,John Ross Roach
242,1922-1923,36,Eagles,8445135,George Boucher
243,1922-1923,36,Eagles,8445168,Punch Broadbent
244,1922-1923,36,Eagles,8445471,King Clancy
245,1922-1923,36,Eagles,8445844,Jack Darragh
246,1922-1923,36,Eagles,8445874,Cy Denneny
247,1922-1923,36,Eagles,8446581,Eddie Gerard
248,1922-1923,36,Eagles,8446767,Harry Helman
249,1922-1923,36,Eagles,8446886,Lionel Hitchman
